q_num,q_statement,A,B,C,D,ans,explain,E
1035,Question: A company has a Java web application. The company wants to use autodeployment to create the AWS environment and deploy new versions of itsapplication.Which AWS service will meet these requirements?, AWS Auto Scaling, AWS Elastic Beanstalk, AWS Control Tower, Amazon EC2, B,,
1036,Question: Which action will provide documentation to help a company evaluatewhether its use of the AWS Cloud is compliant with local regulatory standards?, Running Amazon GuardDuty, Using AWS Artifact, Creating an AWS Support ticket, Evaluating AWS Cloud Trail logs, B,,
1037,Question: A company is launching a new application in the AWS Cloud. Theapplication will run on an Amazon EC2 instance. More EC2 instances will be neededwhen the workload increases. Which AWS service or tool can the company use tolaunch the number of EC2 instances that will be needed to handle the workload?, Elastic Load Balancing, Amazon EC2 Auto Scaling, AWS App2Container(A2C), AWS Systems Manager, B,,
1038,Question: A company has infrastructure in one AWS Region and is expandingoperations to a second AWS Region. The company is using the same AWSCloudFormation template in the second Region that the company uses in the originalRegion. The company attempts to launch Amazon EC2 On-Demand Instances in thesecond Region and receives error messages. What could cause these error messages?, A new EC2 key pair has not been created for the EC2 instances., The requested EC2 instance types are not available in the second Region., The company cannot operate in a second Region until it updates its AWS contract., The company has not configured AWS Budgets to monitor the budget for the EC2, A,instances.,
1039,Question: Which of the following is a software development framework that a companycan use to define cloud resources as code and provision the resources through AWSCloudFormation?, AWS CLI, AWS Developer Center, AWS Cloud Development Kit(AWS CDK), AWS CodeStar, C,,
1040,Question: Which options are available to a user who wants to contact AWSSupport?(Choose two.), Create an email case in the AWS Support Center., Visit a local AWS Support Center., Use live chat functionality., Call the customer service phone number., CD,, Use the video conference functionality of the AWS Support console.
1041,Question: A global company is building a simple time-tracking mobile app. The appneeds to operate globally and must store collected data in a database. Data must beaccessible from the AWS Region that is closest to the user. What should the companydo to meet these data storage requirements with the LEAST amount of operationaloverhead?, Use Amazon EC2 in multiple Regions to host separate databases., Use Amazon RDS cross-Region replication., Use Amazon DynamoDB global tables., Use AWS Database Migration Service(AWS DMS)., C,,
1042,Question: A company plans to store sensitive data in an Amazon S3 bucket. Which taskis the responsibility of AWS?, Activate encryption at rest for the data., Provide security for the physical infrastructure., Train the company's employees about cloud security., Remove personally identifiable information (PII) from the data., A,,
1043,Question: A company needs a firewall that will control network connections to andfrom a single Amazon EC2 instance. This firewall will not control network connectionsto andfrom other instances that are in the same subnet. Which AWS service or featurecan the company use to meet these requirements?, NetworkACL, AWS WAF, Route table, Security group, D,,
1044,Question: Which of the following are AWS Trusted Advisor supportcategories?(Choose two.), Operational excellence, Cost optimization, Security, Well-Architected Framework E. Rightsizing, BC,,
1045,"Question: Which of the following is entirely the responsibility of AWS, according tothe AWS shared responsibility model?", Patching of the guest operating system, Security awareness and training, Physical and environmental controls, Development of an IAM password policy, C,,
1046,Question: Which AWS service can be used to decouple applications?, AWS Config, Amazon Simple Queue Service(Amazon SQS), AWS Batch, Amazon Simple Email Service(Amazon SES), B,,
1047,"Question: A financial services company wants to ensure that its AWS account activityis logged to meet regulatory requirements for logging, auditing, and governance. WhichAWS service meets these requirements?", AWS Cloud Trail, AWS Trusted Advisor, AWS Config, Amazon CloudWatch, A,,
1048,Question: A company implements an Amazon EC2 Auto Scaling policy along with anApplication Load Balancer to automatically recover unhealthy applications that run onAmazon EC2 instances. Which pillar of the AWS Well-Architected Framework doesthis action cover?, Security, Performance efficiency, Operational excellence, Reliability, D,,
1049,Question: A retail company needs to build a highly available architecture for anewecommerce platform. The company is using the only AWS services that replicatesdata across multiple Availability Zones. Which AWS services should the company useto meet this requirement?(Choose two.), Amazon EC2, Amazon Elastic Block Store(Amazon EBS), Amazon Aurora, Amazon DynamoDBE. Amazon Redshift, CD,,
1050,Question: Which AWS service uses edge locations?, Amazon Aurora, AWS Global Accelerator, Amazon Connect, AWS Outposts, B,,
1051,"Question: A company wants to deploy some of its resources in the AWS Cloud. Tomeet regulatory requirements, the data must remain local and on premises. There mustbe low latency between AWS and the company resources. Which AWS service orfeature can be used to meet these requirements?", AWS Local Zones, Availability Zones, AWS Outposts, AWS Wavelength Zones, C,,
1052,Question: What is the LEAST expensive AWS Support plan that provides a designatedAWS technical account manager(TAM)?, AWS Developer Support, AWS Enterprise Support, AWS Basic Support, AWS Business Support, B,,
1053,Question: Which AWS service or feature enables users to encrypt data at rest inAmazon S3?, IAM policies, Server-side encryption, Amazon GuardDuty, Client-side encryption, A,,
1054,Question: A company is moving multiple applications to a single AWS account. Thecompany wants to monitor the AWS Cloud costs incurred by each application.Whatcan the company do to meet this requirement?, Set up invoiced billing., Use AWS Artifact., Set the budgets in Cost Explorer., Create cost allocation tags., D,,
1055,Question: A company is based in the us-east-1 Region and has a satellite office in theeu-west-2 Region.The company wants to use Amazon WorkSpaces to host its internalweb portal and virtual desktops for employees.What should the company do tominimize latency and ensure the best possible performance for employees?, Deploy the internal web portal and virtual desktops to us-east-1 only.Use an Amazon, Deploy the internal web portal to us-east-1 only.Deploy the virtual desktops to useast-1, Deploy the internal web portal to us-east-1 and eu-west-2.Deploy the virtual, Deploy the internal web portal and virtual desktops to us-east-1 and eu-west-2., B,CloudFront distribution for the users in eu-west-2.and eu-west-2.desktops on network optimized Amazon EC2 instances to us-east-1 only.,
1056,Question: A company is considering a move to the AWS Cloud.The company wants tobeable to scale its compute resources as needed to accommodate changing loads. Whichbenefit of the AWS Cloud does this scenario describe?, Global deployments in minutes, Cost savings, Agility, Elasticity, D,,
1057,Question: A company runs its workloads on premises. The company wants to forecastthecost of running a large application on AWS. Which AWS service or tool can thecompany use to obtain this information?, AWS Pricing Calculator, AWS Budgets, AWS Trusted Advisor, Cost Explorer, D,,
1058,Question: A company wants to provide managed Windows virtual desktops andapplications to its remote employees over secure network connections. Which AWSservices can the company use to meet these requirements?(Choose two.), Amazon Connect, Amazon AppStream 2.0, Amazon WorkSpaces, AWS Site-to-Site VPN E. Amazon Elastic Container Service(Amazon ECS), CD,,
1059,"Question: Which of the following is a managed AWS service that is used specificallyfor extract, transform, and load(ETL) data?", Amazon Athena, AWS Glue, Amazon S3, AWS Snowball Edge, B,,
1060,Question: Which AWS service is always free of charge for users?, Amazon S3, Amazon Aurora, Amazon EC2, AWS Identity and Access Management (IAM), C,,
1061,Question: Which AWS services can be used to store files?(Choose two.), Amazon S3, AWS Lambda, Amazon Elastic Block Store(Amazon EBS), Amazon SageMaker, ACE,Explanation https://intellipaat. com/community/58120/which-aws-services-can-beused-to-store-files, AWS Storage Gateway
1062,Question: How does consolidated billing help reduce costs for a company that hasmultiple AWS accounts?, It aggregates usage across accounts so that the company can reach volume discount, It offers an additional 5% discount on purchases of All Upfront Reserved Instances., It provides a simplified billing invoice that the company can process more quickly, It gives AWS resellers the ability to bill their customers for usage., A,thresholds sooner.than a standard invoice.,
1063,Question: Which AWS service or feature can be used to find availability statusinformation on all AWS services?, AWS Personal Health Dashboard, AWS Cloud Trail, AWS Service Health Dashboard, Amazon CloudWatch, C,,
1064,Question: Which AWS service or feature provides users with recommendations forcommon billing questions?, AWS Marketplace, AWS Knowledge Center, Amazon Pinpoint, Amazon Connect, B,,
1065,Question: A company wants to distribute its incoming traffic across multiple AmazonEC2instances. Which AWS service or feature should be used to meet this requirement?, Amazon Virtual Private Cloud(Amazon VPC), AWS Application Load Balancer, AWS Managed VPN, AWS Direct Connect, B,,
1066,Question: Which disaster recovery option is the LEAST expensive?, Warm standby, Multisite, Backup and restore, Pilot light, C,,
1067,"Question: A company uses a database that has a simple sign-up page to create users,and a basic login form to authenticate users so they can access the database. Thecompany wants to give users the ability to store personal information, but the useraccess must be controlled in a more secure and reliable way. Which AWS service orfeature will meet these requirements?", Security groups, Amazon GuardDuty, AWS Secrets Manager, Amazon Cognito, A,,
1068,"Question: Which pillar of the AWS Well-Architected Framework focuses on the abilityto run workloads effectively, gain insight into operations, and continuously improvesupporting processes and procedures?", Cost optimization, Reliability, Operational excellence, Performance efficiency, C,,
1069,Question: Which AWS benefit is demonstrated by on-demand technology services thatenable companies to replace upfront fixed expenses with variable expenses?, High availability, Economies of scale, Pay-as-you-go pricing, Global reach, C,,
1070,Question: A large organization has a single AWS account. What are the advantages ofreconfiguring the single account into multiple AWS accounts?(Choose two.), It allows for administrative isolation between different workloads., Discounts can be applied on a quarterly basis by submitting cases in the AWS, Transitioning objects from Amazon S3 to Amazon S3 Glacier in separate AWS, Having multiple accounts reduces the risks associated with malicious activity, AC,Management Console.accounts will be less expensive.targeted at a single account.recommendations for environments running in multiple accounts., Amazon QuickSight offers access to a cost tool that provides application-specific
1071,Question: An online retail company recently deployed a production web application.The system administrator needs to block common attack patterns such as SQL injectionand cross-site scripting. Which AWS service should the administrator use to addressthese concerns?, AWS WAF, Amazon VPC, Amazon GuardDuty, Amazon CloudWatch, A,,
1072,Question: What does Amazon CloudFront provide?, Automatic scaling for all resources to power an application from a single unified," Secure delivery of data, videos, applications, and APls to users globally with low"," Ability to directly manage traffic globally through a variety of routing types,"," Automatic distribution of incoming application traffic across multiple targets, such", B,"interfacelatencyincluding latency-based routing, geo DNS, geoproximity, and weighted round robinas Amazon EC2 instances, containers, IP addresses, and AWS Lambda functions",
1073,Question: Which phase describes agility as a benefit of building in the AWS Cloud?," The ability to pay only when computing resources are consumed, based on the", The ability to eliminate guessing about infrastructure capacity needs, The ability to support innovation through a reduction in the time that is required to, The ability to deploy an application in multiple AWS Regions around the world in, C,volume of resources that are consumedmake IT resources available to developersminutesExplanation https://docs. aws. amazon. com/whitepapers/latest/aws-overview/sixadvantages-of-cloud-computing. Html,
1074,Question: A company is undergoing a security audit. The audit includes securityvalidation and compliance validation of the AWS infrastructure and services that thecompany uses.The auditor needs to locate compliance-related information and must download AWSsecurity and compliance documents. These documents include the System andOrganization Control(SOC) reports. Which AWS service or group can provide thesedocuments?, AWS Abuse team, AWS Artifact, AWS Support, AWS Config, B,,
1075,Question: Which AWS Trusted Advisor checks are available to users with AWS BasicSupport?(Choose two.), Service limits, High utilization Amazon EC2 instances, Security groups ? specific ports unrestricted, Load balancer optimization E. Large number of rules in an EC2 security groups, AC,,
1076,Question: A company has a centralized group of users with large file storagerequirements that have exceeded the space available onpremises. The company wantsto extend its file storage capabilities for this group while retaining the performancebenefit of sharing content locally. What is the MOST operationally efficient AWSsolution for this scenario?, Create an Amazon S3 bucket for each users. Mount each bucket by using an S3 file, Configure and deploy an AWS Storage Gateway file gateway. Connect each user's, Move each user's working environment to Amazon WorkSpaces. Set up an Amazon, Deploy an Amazon EC2 instance and attach an Amazon Elastic Block, B,system mounting utility.workstation to the file gateway.WorkDocs account for each user.the users.,Store(Amazon EBS) Provisioned IOPS volume. Share the EBS volume directly with
1077,Question: Which network security features are supported by Amazon VPC?(Choosetwo.), NetworkACLs, Internet gateways, VPC peering, Security groups E. Firewall rules, AD,,
1078,"Question: A company wants to build a new architecture with AWS services. Thecompany needs to compare service costs at various scales. Which AWS service, tool,or feature should the company use to meet this requirement?", AWS Compute Optimizer, AWS Pricing Calculator, AWS Trusted Advisor, Cost Explorer rightsizing recommendations, B,,
1079,Question: An Elastic Load Balancer allows the distribution of web traffic acrossmultiple:, AWS Regions., Availability Zones., Dedicated Hosts., Amazon S3 buckets., B,,
1080,Question: Which characteristic of the AWS Cloud helps users eliminate underutilizedCPU capacity?, Agility, Elasticity, Reliability, Durability, B,,
1081,Question: Which AWS services make use of global edge locations?(Choose two.), AWS Fargate, Amazon CloudFront, AWS Global Accelerator, AWS Wavelength E. Amazon VPC, BC,,
1082,Question: Which of the following are economic benefits of using AWS Cloud?(Choosetwo.), Consumption-based pricing, Perpetual licenses, Economies of scale, AWS Enterprise Support at no additional cost E. Bring-your-own-hardware model, AC,,
1083,Question: A company is using Amazon EC2 Auto Scaling to scale its Amazon EC2instances. Which benefit of the AWS Cloud does this example illustrate?, High availability, Elasticity, Reliability, Global reach, B,,
1084,"Question: A company is running and managing its own Docker environment onAmazon EC2 instances. The company wants to alternate to help manage cluster size,scheduling, and environment maintenance. Which AWS service meets theserequirements?", AWS Lambda, Amazon RDS, AWS Fargate, Amazon Athena, C,,
1085,"Question: A company hosts an application on an Amazon EC2 instance. The EC2instance needs to access several AWS resources, including Amazon S3 and AmazonDynamoDB. What is the MOST operationally efficient solution to delegate permissions?", Create an IAM role with the required permissions. Attach the role to the EC2, Create an IAM user and use its access key and secret access key in the application., Create an IAM user and use its access key and secret access Key to create a CLI, Create an IAM role with the required permissions. Attach the role to the, A,instance.profile in the EC2 instanceadministrative IAM user.,
1086,Question: Who is responsible for managing IAM user access and secret keys accordingto the AWS shared responsibility model?," IAM access and secret keys are static, so there is no need to rotate them.", The customer is responsible for rotating keys., AWS will rotate the keys whenever required., The AWS Support team will rotate keys when requested by the customer., B,,
1087,"Question: A company is running a Microsoft SQL Server instance on premises and ismigrating its application to AWS. The company lacks the resources need to refactor theapplication, but management wants to reduce operational overhead as part of themigration. Which database service would MOST effectively support these requirements?", Amazon DynamoDB, Amazon Redshift, Microsoft SQL Server on Amazon EC2, Amazon RDS for SQL Server, D,,
1088,Question: A company wants to increase its ability to recover its infrastructure in thecaseof a natural disaster. Which pillar of the AWS Well-Architected Framework doesthis ability represent?, Cost optimization, Performance efficiency, Reliability, Security, C,,
1089,Question: Which AWS service provides the capability to view end-to-end performancemetrics and troubleshoot distributed applications?, AWS Cloud9, AWS CodeStar, AWS Cloud Map, AWS X-Ray, D,,
1090,Question: Which tasks require use of the AWS account root user?(Choose two.), Changing an AWS Support plan, Modifying an Amazon EC2 instance type, Grouping resources in AWS Systems Manager, Running applications in Amazon Elastic Kubernetes Service (Amazon EKS), AE,, Closing an AWS account
1091,Question: Which of the following describes AWS Local Zones?, A cluster of data centers in one geographic location, A site used by Amazon CloudFront to cache frequently accessed content, An extension of an AWS Region to more granular locations, One or more data centers with redundant power and networking, A,,
1092,Question: Which AWS service or feature is highly available by default?, Amazon EC2, Amazon Aurora, NAT instances, Amazon RDS, D,,
1092,Question: A company wants to improve its security and audit posture by limitingAmazon EC2 inbound access. What should the company use to access instancesremotely instead of opening inbound SSH ports and managing SSH keys?, EC2 key pairs, AWS Systems Manager Session Manager, AWS Identity and Access Management(IAM), Network ACLs, B,,
1094,Question: A user needs the ability to access as many resources as are needed. The useralso needs the ability to scale up and scale down with only a few minutes of notice.Which benefit of the AWS Cloud describes these abilities?, Reliability, Economy of scale, Elasticity, Pay-as-you-go pricing, C,,
1095,Question: Which task is an AWS responsibility when a workload is running in AmazonRDS?, Creating the database table, Updating the database schema, Installing the database engine, Dropping the database records, C,,
1096,Question: A company is building a mobile app to provide shopping recommendationsto its customers. The company wants to use a graph database as part of theshoppingrecommendation engine. Which AWS database service should the companychoose?, Amazon DynamoDB, Amazon Aurora, Amazon Neptune, Amazon DocumentDB(with MongoDB compatibility), C,,
1097,Question: Which duty is a responsibility of AWS under the AWS shared responsibilitymodel?, Identity and access management (IAM), Server-side encryption(SSE), Firewall configuration, Maintaining physical hardware, D,,
1098,Question: Which AWS service allows users to provision resources using a consistentand repeatable process?, AWS Systems Manager, AWS CloudFormation, AWS Batch, AWS Config, B,,
1099,Question: A company has an application workload that is stateless be design and cansustain occasional downtime. The application performs massively parallelcomputations.Which Amazon EC2 pricing model should the company choose for its application toreduce cost?, On-Demand Instances, Spot Instances, Reserved Instances, Dedicated Instances, B,,
1100,Question: A company wants to establish a private network connection between AWSand its corporate network. Which AWS service or feature will meet this requirement?, Amazon Connect, Amazon Route 53, AWS Direct Connect, VPC peering, C,,
1101,"Question: According to the AWS shared responsibility model, the customer isresponsible for applying the latest security updates and patches for which of thefollowing?", Amazon DynamoDB, Amazon EC2 instances, Amazon RDS instances, Amazon S3, B,,
1102,Question: Which AWS service is a relational database compatible with MySQL andPostgreSQL?, Amazon Redshift, Amazon DynamoDB, Amazon Aurora, Amazon Neptune, C,,
1103,Question: Which AWS service should a company use to continuously monitor thecompliance of AWS resource configurations?, AWS Organizations, AWS Config, AWS Artifact, AWS Service Catalog, B,,
1104,Question: A company has an uninterruptible application that runs on Amazon EC2instances. The application constantly processes a backlog of files in an Amazon SimpleQueue Service (Amazon SQS) queue. This usage is expected to continue to grow foryears. What is the MOST cost-effective EC2 instance purchasing model to meet theserequirements?, Spot Instances, On-Demand Instances, Savings Plans, Dedicated Hosts, B,,
1105,Question: Which AWS services and features are provided to all customers at nocharge?(Select TWO.), Amazon Aurora, VPC, Amazon SageMaker, AWS Identity and Access Management(IAM), BD,, Amazon Polly
1106,Question: A company has stopped all of its Amazon EC2 instances but monthly billingcharges continue to occur. What could be causing this? Select TWO.), Amazon Elastic Block Store(Amazon EBS) storage charges, Operating system charges, Hardware charges, Elastic IP charges E. Input/output(I/O) charges, AD,,
1107,Question: Which AWS service gives users the ability to build interactive businessintelligence dashboards that include machine learning insights?, Amazon Athena, Amazon Kendra, Amazon QuickSight, Amazon Redshift, D,,
1108,"Question: A company has an application that needs to invoke AWS services, includingAmazon Kinesis Data Firehose, AWS Lambda, and AWS CodePipeline. Which AWSservice should the company use to meet this requirement?", Amazon Simple Email Service(Amazon SES), Amazon EventBridge(Amazon Cloud Watch Events), Amazon Kinesis Data Streams, AWS Database Migration Service(AWS DMS), C,,
1109,Question: A company wants to deploy its application on AWS by using Amazon EC2instances. The application has flexible start times and end times. The application alsocan be restarted if necessary. Which instance purchasing option is the MOST costeffective for this use case?, Savings Plans, Reserved Instances, Spot Instances, On-Demand Instances, C,,
1110,Question: A VPC spans across:, AWS Regions., Availability Zones., edge locations., corporate networks., B,,
1111,Question: A cloud practitioner wants information on the state of an existing AWSenvironment compared against established best practices. Which AWS services orfeatures should the cloud practitioner use to obtain this information?(Select TWO.), AWS Artifact, AWS Solutions Library, AWS Trusted Advisor, AWS Well-Architected Tool E. AWS Personal Health Dashboard, CD,,
1112,Question: Which of the following will help a user determine if they need to request aVPC service limit increase?, AWS Personal Health Dashboard, AWS Trusted Advisor, AWS Cost and Usage Report, AWS Service Catalog, A,,
1113,Question: A company has a business-critical Amazon RDS for MySQL DB instancethat resides in a single Availability Zone. Which solution will improve the availabilityof the DB instance?, Convert the DB instance into a multi-Region deployment., Create an Amazon Simple Queue Service(Amazon SQS) queue in the same AWS, Convert the DB instance into a Multi-AZ deployment., Create an Amazon Simple Queue Service (Amazon SQS) queue in a different AWS, C,Region to manage writes to the DB instance.Region to manage writes to the DB instance,
1114,Question: How can a company maximize its application uptime in the AWS Cloud?, Deploy multiple copies of the application in different Availability Zones in the same, Deploy multiple copies of the application across multiple Availability Zones within,a VPManually fail over if one site is unavailable., Deploy multiple copies of the application across multiple Availability Zones and, D,subnet.Fail over with Amazon Route53.C. Deploy the application to a single Availability Zone and fall back to a static page ifthe application is unavailable.load balance across each Availability Zone for automatic failover,
1115,Question: How does AWS CloudFormation help users operate in the AWS Cloud?, It supports the simple coding of cloud-native applications, It monitors the cloud environment," It automates the responses to threats, reducing remediation and recovery time", It provides the ability to model and provision the resources needed for applications, D,,
1116,Question: Which AWS service or feature is used to troubleshoot network connectivityissues between Amazon EC2 instances?, AWS Certificate Manager(ACM), Internet gateway, VPC Flow Logs, AWS CloudHSM, C,,
1117,Question: A company has set up its IT infrastructure in the AWS Cloud. The companywants to receive detailed reports that break down AWS costs by the hour. The reportsmust be placed in an Amazon S3 bucket. Which AWS tool will meet these requirements?, AWS Cost and Usage Reports, AWS Pricing Calculator, Cost Explorer, AWS Budgets, A,,
1118,Question: Which AWS service or tool helps to centrally manage billing and allowcontrolled access to resources across AWS account?, AWS Identity and Access Management(IAM), AWS Organizations, Cost Explorer, AWS Budgets, B,,
1119,Questionï¼šA company needs to store database backups.The company must be able toretrieve the data in minutes Backup restorations will take place once a year.Which AWSsolution should the company use to meet these requirements at the LOWEST costï¼Ÿ,Amazon Elastic Block Storeï¼ˆAmazon EBSï¼‰,Amazon S3 Glacier,Amazon Elastic File Systemï¼ˆAmazon EFSï¼‰,Amazon S3 Standard, B,,
1120,Question: What is a benefit of using AWS serverless computing?, Application deployment and management are not required, Application security will be fully managed by AWS, Monitoring and logging are not needed, Management of infrastructure is ofloaded toAwSC, D,,
1121,Question: Which AWS service provides a view of the health of the specific servicesthat a company is using in its AWS account?, AWS Service Health Dashboard, Amazon QuickSight, AWS Personal Health Dashboard, AWS Cloud Trail, C,,
1122,Question: A company has decided to migrate its production workloads to the AWSCloud.Which actions can help reduce operational costs as part of the migration?(Select TWO.), Reduce overprovisioned instances., Rehost all third-party licenses on AWS, Implement a highly available architecture, Use managed services., BD,, Improve application security.
1123,Question: Which AWS service enables companies to deploy an application close to endusers?, Amazon CloudFront, AWS Auto Scaling, AWS AppSync, Amazon Route 53, A,,
1124,Question: Which AWS service or feature is associated with a subnet in a VPC and isused to control inbound and outbound traffic?, Amazon Inspector, Network ACLs, AWS Shield, VPC Flow Logs, B,,
1125,Question: A company wants to deploy and manage a Docker-based application on AWS.Which solution meets these requirements with the LEAST amount of operationaloverhead?, An open-source Docker orchestrator on Amazon EC2 instances, AWS AppSync, Amazon Elastic Container Registry(Amazon ECR), Amazon Elastic Container Service(Amazon ECS), A,,
1126,"Question: Which AWS benefit enables users to deploy cloud infrastructure that consistsof multiple geographic regions connected by a network with low latency highthroughput, and redundancy?", Economies of scale, Security, Elasticity, Global reach, D,,
1127,Question: A company wants to improve the overall availability and performance of itsapplications that are hosted on AWS. Which AWS service should the company use?, Amazon Connect, Amazon Lightsail, AWS Global Accelerator, AWS Storage Gateway, C,,
1128,"Question: A company is releasing a business-critical application. Before the release, thecompany needs strategic planning assistance from AWS. During the release,thecompany needs AWS infrastructure event management and real-time support. Whatshould the company do to meet these requirements?", Access AWS Trusted Advisor, Contact the AWS Partner Network(APN), Sign up for AWS Enterprise Support, Contact AWS Professional Services, C,,
1129,Question: Which AWS services or features can a company use to connect the networkof its on-premises data center to AWS?(Select Two.), AWS VPN, AWS Directory Service, AWS Data Pipeline, AWS Direct Connect, AE,, AWS CloudHSM
1130,Question: Which databases are available on Amazon RDS?(Select Two.), Sybase, Microsoft SQL Server, IBMDB2, MongoDB, BE,, PostgreSQL
1131,"Question: A company needs general architectural guidance about how to use AWSservices for various use cases, workloads, and applications. What is the LEASTexpensive AWS Support plan that provides this guidance?", AWS Business Support, AWS Developer Support, AWS Enterprise Support, AWS Basic Support, A,,
1132,Question: A company is using multiple Availability Zones to deploy AWS Cloudarchitecture. Which design principle of the AWS Well-Architected Framework doesthis example represent?, Implement elasticity, Decouple architecture components, Design for high availability, Thing parallel, C,,
1133,Question: A company is required to store its data close to its primary users. Whichbenefit of the AWS Cloud supports this requirement?, Security, High availability, Elasticity, Global footprint, D,,
1134,Question: A media company uploads audio and video files to a centralized Amazon S3bucket from locations that are geographically dispersed. Which AWS solution willoptimize transfer speeds for these files?, AWS Global Accelerator, S3 Transfer Accelerator, AWS Direct Connect, Amazon CloudFront, D,,
1135,Question: A company hosts a web application on Amazon EC2 instances. Theapplication requires credentials so that it can access other AWS services. Which featureshould the company use the provide this access?, IAM users, IAM groups, IAM roles, Multi-factor authentication(MFA), D,,
1136,Question: Which tool or feature provides a report to forecast AWS billing costs for thenext 3 months?, Consolidated billing, AWS Budgets, AWS Cost and Usage Report, Cost Explorer, D,,
1137,"Question: Which of the following is the responsibility of both AWS and the customer,according to the AWS shared responsibility model?", AWS awareness and training, Client-side data encryption, Physical and environmental controls of AWS data centers, Server-side data encryption, A,,
1138,Questionï¼šWhich AWS service should a company use to provide its employees withaccess to the AWS Management Consoleï¼Ÿ, AWS Identity and Access Managementï¼ˆIAMï¼‰, Amazon Cognito, AWS Resource Access Manager, AWS Key Management Serviceï¼ˆAWS KMSï¼‰, A,,
1139,Question: Which AWS service or feature provides a platform for building cloud-basedcustomer service contact centers?, Amazon Pinpoint, Amazon Connect, Amazon Athena, AWS Enterprise Support, B,,
1140,Question: A company needs a persistent cloud environment for development andtesting for a project that will run for 3 months. Which Amazon EC2 instance purchasingoption meets these requirements MOST cost-effectively?, Reserved Instances, Spot Instances, Dedicated Hosts, On-Demand Instances, D,,
1141,Question: Which AWS Support plan is recommended for business and mission-criticalworkloads in AWS environments?, AWS Business Support, AWS Enterprise Support, AWS Basic Support, AWS Developer Support, A,,
1142,Question: A large company is using the AWS Cloud for its business units. Eachbusiness until uses one VPC for each business application.The company is acquiringother companies that have their own VPCs that run new applications. The companyneeds to manage connectivity between its existing VPCs and the newly acquired VPCs.Which AWS service can the company use to meet this requirement?, AWS App Mesh, AWS Cloud Map, AWS Transit Gateway, AWS Site-to-Site VPN, C,,
1143,Question: Which AWS service is delivered regionally?, AWS Shield, Amazon S3, Amazon Route53, AWS Identity and Access Management (IAM), B,,
1144,Question: Which of the following are AWS Support plans that provide access to thefull set of AWS Trusted Advisor checks?(Select Two.), AWS Enterprise Support, AWS Basic Support, AWS Business Support, AWS Developer SupportE. AWS Concierge Support, AC,,
1145,Question: A company is running multiple workloads in the AWS Cloud and recentlybegan investigating ways to reduce costs. The company is already running fault-tolerantworkloads on Amazon EC2 that perform periodic checkpoints in case of an outage.Which AWS service or pricing model can provide the GREATEST cost savings?, Capacity Reservations, Amazon Lightsail, Spot Instances, Dedicated Hosts, A,,
1146,Question: Which of the following is a way to use Amazon EC2 Auto Scaling groups toscale capacity in the AWS Cloud?," Scale the number of EC2 instances in or out automatically, based on demand", Use serverless EC2 instances," Scale the size of EC2 instances up or down automatically, based on demand", Transfer unused CPU resources between EC2 instances, A,,
1147,Question: Which of the following are advantages of using Amazon EC2 instances overtraditional on-premses servers?(Select TWO.), Pay-as-you-go pricing, Automation, Self-maintenance of servers, Agility, A C,, Access to physical hosts
1148,Question: Which controls are shared under the AWS shared responsibilitymodel?(Select TWO.), Awareness and training, Patching of Amazon RDS, Configuration management, Physical and environmental controls, AC,, Service and communications protection or security
1149,Question: A company needs to use SQL to query data from Amazon S3. Which AWSservices or features can the company use to meet this requirement?(Select TWO.), AWS Data Exchange, Amazon Athena, S3 Select, S3 Transfer Acceleration, BD,, AWS Data Pipeline
1150,A company sells a device that uses automatic language recognition torespond to spoken questions. The company wants to use deep learning and Naturallanguage understanding to power this device. Which AWS service meets theserequirements?, Amazon Transcribe, Amazon Comprehend, Amazon Lex, Amazon Polly, D,,
1151,Question: A company needs to run code in response to an event notification that occurswhen objects are uploaded to an Amazon S3 bucket. Which AWS service will integratedirectly with the event notification?, AWS Lambda, Amazon EC2, Amazon Elastic Container Registry(Amazon ECR), AWS Elastic Beanstalk, A,,
1152,Question: Which cloud characteristics enable a company to provision or releasecomputing capacity as required?(Select Two.), Scalability, Economies of scale, Elasticity, Agility, AC,, Reliability
1153,Question: A company uses Amazon EC2 instances and wants to maintain highavailabilityin geographically distributed locations. Which choice should the companymake for the location of its EC2 instances?, Use a single Availability Zone in multiple edge locations, Use multiple Availability Zones in multiple AWS Regions, Use multiple Availability Zones in a single AWS Region, Use multiple Availability Zones in multiple edge locations, B,,
1154,Question: A company wants guidance to optimize the cost and performance of itscurrent AWS environment.Which AWS service or tool should the company use toidentify areas for optimization?, Amazon QuickSight, AWS Trusted Advisor, AWS Organizations, AWS Budgets, B,,
1155,"Question: Which AWS service or tool allows users to visualize, understand, andmanage AWS costs and usage over time?", AWS Budgets, AWS Trusted Advisor, AWS Cloud Trail, Cost Explorer, D,,
1156,Question: Under the AWS shared responsibility model which task is the customer'sresponsibility when managing AWS Lambda functions?, Creating versions of Lambda functions, Maintaining server and operating systems, Scaling Lambda resources according to demand, Updating the Lambda runtime environment, A,,
1157,Questionï¼šWhich AWS service is a fully hosted version control serviceï¼Ÿ,AWS CodeCommit,AWS CodeBuild,AWS CodeDeploy,AWS CodeStar, A,,
